# f [Hz], A [dBV]
# 
0.000000,-66.103940
250.626566,-66.621330
501.253133,-75.358250
751.879699,-78.586100
1002.506266,-75.581670
1253.132832,-77.463110
1503.759398,-85.194650
1754.385965,-87.458250
2005.012531,-87.023170
2255.639098,-90.274530
2506.265664,-91.691480
2756.892231,-92.579280
3007.518797,-94.025640
3258.145363,-94.913440
3508.771930,-95.536670
3759.398496,-96.183420
4010.025063,-96.741970
4260.651629,-97.382840
4511.278195,-97.717960
4761.904762,-98.405860
5012.531328,-98.905620
5263.157895,-99.287790
5513.784461,-99.805180
5764.411028,-100.175600
6015.037594,-100.093300
6265.664160,-100.910500
6516.290727,-101.257400
6766.917293,-101.539600
7017.543860,-101.792400
7268.170426,-102.186400
7518.796992,-102.503900
7769.423559,-102.703800
8020.050125,-102.756700
8270.676692,-103.291700
8521.303258,-103.509300
8771.929825,-103.720900
9022.556391,-103.797400
9273.182957,-104.138400
9523.809524,-104.444100
9774.436090,-104.685200
10025.062657,-104.902700
10275.689223,-105.061500
10526.315789,-105.296600
10776.942356,-105.508300
11027.568922,-105.690600
11278.195489,-105.866900
11528.822055,-106.037400
11779.448622,-106.013900
12030.075188,-105.255500
12280.701754,-106.331400
12531.328321,-106.731200
12781.954887,-106.854700
13032.581454,-107.001700
13283.208020,-107.078100
13533.834586,-105.573000
13784.461153,-107.319200
14035.087719,-107.536700
14285.714286,-107.648400
14536.340852,-107.801300
14786.967419,-107.907100
15037.593985,-107.278000
15288.220551,-107.519100
15538.847118,-104.549900
15789.473684,-102.333400
16040.100251,-107.060500
16290.726817,-108.007100
16541.353383,-108.377500
16791.979950,-108.859600
17042.606516,-109.053600
17293.233083,-109.200600
17543.859649,-109.247600
17794.486216,-109.200600
18045.112782,-106.601900
18295.739348,-109.424000
18546.365915,-109.618100
18796.992481,-109.888500
19047.619048,-109.994300
19298.245614,-110.076700
19548.872180,-110.088400
19799.498747,-109.200600
20050.125313,-107.671900
20300.751880,-109.365200
20551.378446,-110.329500
20802.005013,-109.994300
21052.631579,-109.882600
21303.258145,-110.200100
21553.884712,-110.699900
21804.511278,-110.758700
22055.137845,-110.876300
22305.764411,-110.864500
22556.390977,-110.541100
22807.017544,-108.424500
23057.644110,-110.400000
23308.270677,-110.429400
23558.897243,-110.476500
23809.523810,-109.823800
24060.150376,-108.753800
24310.776942,-109.929700
24561.403509,-110.135500
24812.030075,-110.641100
25062.656642,-110.417700
25313.283208,-110.423500
25563.909774,-110.117800
25814.536341,-109.712100
26065.162907,-109.265300
26315.789474,-108.871400
26566.416040,-108.277500
26817.042607,-107.848300
27067.669173,-107.542600
27318.295739,-106.625400
27568.922306,-104.632200
27819.548872,-103.609200
