# f [Hz], A [dBV]
# 
0.000000,-64.008980
250.626566,-67.607220
501.253133,-75.703290
751.879699,-79.254500
1002.506266,-81.406390
1253.132832,-82.564660
1503.759398,-83.652360
1754.385965,-84.234430
2005.012531,-84.634240
2255.639098,-85.086960
2506.265664,-85.210430
2756.892231,-85.139870
3007.518797,-85.416210
3258.145363,-85.451480
3508.771930,-85.451480
3759.398496,-85.445610
4010.025063,-85.574950
4260.651629,-85.404450
4511.278195,-85.363290
4761.904762,-85.404450
5012.531328,-85.398570
5263.157895,-85.351530
5513.784461,-85.357410
5764.411028,-85.128110
6015.037594,-84.987000
6265.664160,-85.063440
6516.290727,-85.051680
6766.917293,-84.981120
7017.543860,-84.863540
7268.170426,-84.928210
7518.796992,-84.693030
7769.423559,-84.728310
8020.050125,-84.763580
8270.676692,-84.516640
8521.303258,-84.534280
8771.929825,-84.557800
9022.556391,-84.604840
9273.182957,-84.340260
9523.809524,-84.234430
9774.436090,-84.216790
10025.062657,-84.263830
10275.689223,-83.952210
10526.315789,-83.952210
10776.942356,-83.887540
11027.568922,-83.911060
11278.195489,-83.693520
11528.822055,-83.858140
11779.448622,-83.681760
12030.075188,-83.664120
12280.701754,-83.681760
12531.328321,-83.652360
12781.954887,-83.417180
13032.581454,-83.399540
13283.208020,-83.570050
13533.834586,-83.205520
13784.461153,-83.287830
14035.087719,-83.158480
14285.714286,-83.123210
14536.340852,-83.140840
14786.967419,-82.982100
15037.593985,-82.923300
15288.220551,-82.846870
15538.847118,-82.882140
15789.473684,-82.882140
16040.100251,-82.764560
16290.726817,-82.664600
16541.353383,-82.511740
16791.979950,-82.746920
17042.606516,-82.517620
17293.233083,-82.482340
17543.859649,-82.394150
17794.486216,-82.447060
18045.112782,-82.253040
18295.739348,-82.188370
18546.365915,-82.123690
18796.992481,-82.241280
19047.619048,-82.188370
19298.245614,-82.217760
19548.872180,-82.070780
19799.498747,-82.064900
20050.125313,-81.847350
20300.751880,-82.006100
20551.378446,-81.982580
20802.005013,-81.900270
21052.631579,-81.706250
21303.258145,-81.612170
21553.884712,-81.512230
21804.511278,-81.606300
22055.137845,-81.647450
22305.764411,-81.506340
22556.390977,-81.488710
22807.017544,-81.300560
23057.644110,-81.318200
23308.270677,-81.271160
23558.897243,-81.365240
23809.523810,-81.329960
24060.150376,-81.194730
24310.776942,-81.118300
24561.403509,-81.182970
24812.030075,-80.900760
25062.656642,-80.859600
25313.283208,-80.953670
25563.909774,-80.800800
25814.536341,-80.983070
26065.162907,-80.930160
26315.789474,-80.730250
26566.416040,-80.618540
26817.042607,-80.724370
27067.669173,-80.483310
27318.295739,-80.618540
27568.922306,-80.553870
27819.548872,-80.436280
28070.175439,-80.706730
28320.802005,-80.389240
28571.428571,-80.453910
28822.055138,-80.359840
29072.681704,-80.401000
29323.308271,-80.218730
29573.934837,-80.271650
29824.561404,-80.289290
30075.187970,-80.142300
30325.814536,-80.159940
30576.441103,-79.971800
30827.067669,-80.030590
31077.694236,-79.983550
31328.320802,-80.036470
31578.947368,-79.854210
31829.573935,-79.977680
32080.200501,-79.871850
32330.827068,-79.924760
32581.453634,-79.724860
32832.080201,-77.884580
33082.706767,-79.824810
33333.333333,-79.677820
33583.959900,-79.613150
33834.586466,-79.513200
34085.213033,-79.624910
34335.839599,-79.677820
34586.466165,-79.425000
34837.092732,-79.466160
35087.719298,-79.377970
35338.345865,-79.195710
35588.972431,-79.454400
35839.598997,-79.289780
36090.225564,-79.183940
36340.852130,-79.084000
36591.478697,-79.348570
36842.105263,-79.248620
37092.731830,-79.084000
37343.358396,-79.166310
