# f [Hz], A [dBV]
# 
0.000000,-51.056460
250.626566,-62.603780
501.253133,-66.872290
751.879699,-67.348530
1002.506266,-70.035450
1253.132832,-71.093770
1503.759398,-71.134920
1754.385965,-73.310330
2005.012531,-73.868890
2255.639098,-74.057030
2506.265664,-75.156490
2756.892231,-75.426950
3007.518797,-75.532780
3258.145363,-75.785600
3508.771930,-75.885550
3759.398496,-76.173650
4010.025063,-76.032540
4260.651629,-76.144250
4511.278195,-76.020780
4761.904762,-76.167770
5012.531328,-76.220680
5263.157895,-76.226560
5513.784461,-76.203040
5764.411028,-76.308870
6015.037594,-76.320630
6265.664160,-76.273600
6516.290727,-76.208920
6766.917293,-76.308870
7017.543860,-76.355910
7268.170426,-76.297120
7518.796992,-76.350030
7769.423559,-76.332390
8020.050125,-76.373550
8270.676692,-76.408820
8521.303258,-76.138370
8771.929825,-76.197160
9022.556391,-76.261840
9273.182957,-76.191280
9523.809524,-76.255960
9774.436090,-76.214800
10025.062657,-76.250080
10275.689223,-76.191280
10526.315789,-76.244200
10776.942356,-76.156010
11027.568922,-76.203040
11278.195489,-76.285350
11528.822055,-76.167770
11779.448622,-76.079570
12030.075188,-76.273600
12280.701754,-76.073700
12531.328321,-76.191280
12781.954887,-76.091330
13032.581454,-76.185410
13283.208020,-76.103090
13533.834586,-75.991380
13784.461153,-76.050170
14035.087719,-76.091330
14285.714286,-75.979620
14536.340852,-76.026660
14786.967419,-76.050170
15037.593985,-76.079570
15288.220551,-76.026660
15538.847118,-76.003140
15789.473684,-75.850270
16040.100251,-75.997260
16290.726817,-75.973740
16541.353383,-75.844390
16791.979950,-75.973740
17042.606516,-75.914950
17293.233083,-75.909070
17543.859649,-75.909070
17794.486216,-76.014900
18045.112782,-75.961980
18295.739348,-75.926710
18546.365915,-75.809120
18796.992481,-75.938470
19047.619048,-75.850270
19298.245614,-75.862030
19548.872180,-75.809120
19799.498747,-75.879670
20050.125313,-75.809120
20300.751880,-75.785600
20551.378446,-75.797360
20802.005013,-75.809120
21052.631579,-75.844390
21303.258145,-75.815000
21553.884712,-75.809120
21804.511278,-75.662130
22055.137845,-75.697410
22305.764411,-75.715050
22556.390977,-75.732690
22807.017544,-75.720920
23057.644110,-75.832630
23308.270677,-75.715050
23558.897243,-75.685650
23809.523810,-75.662130
24060.150376,-75.738560
24310.776942,-75.585700
24561.403509,-75.597450
24812.030075,-75.456350
25062.656642,-75.662130
25313.283208,-75.485740
25563.909774,-75.597450
25814.536341,-75.585700
26065.162907,-75.597450
26315.789474,-75.521020
26566.416040,-75.438710
26817.042607,-75.626850
27067.669173,-75.462230
27318.295739,-75.379910
27568.922306,-75.550420
27819.548872,-75.426950
28070.175439,-75.379910
28320.802005,-75.368160
28571.428571,-75.426950
28822.055138,-75.432830
29072.681704,-75.462230
29323.308271,-75.479870
29573.934837,-75.421070
29824.561404,-75.456350
30075.187970,-75.362270
30325.814536,-75.485740
30576.441103,-75.526900
30827.067669,-75.338760
31077.694236,-75.232930
31328.320802,-75.368160
31578.947368,-75.256450
31829.573935,-75.421070
32080.200501,-75.250560
32330.827068,-75.203530
32581.453634,-75.379910
32832.080201,-75.015380
33082.706767,-75.197650
33333.333333,-75.180010
33583.959900,-75.180010
33834.586466,-75.256450
34085.213033,-75.197650
34335.839599,-75.232930
34586.466165,-75.215290
34837.092732,-75.080060
35087.719298,-75.197650
35338.345865,-75.127100
35588.972431,-75.185890
35839.598997,-75.097700
36090.225564,-75.062420
36340.852130,-74.980110
36591.478697,-75.009510
36842.105263,-75.085940
37092.731830,-75.009510
37343.358396,-75.156490
37593.984962,-75.056540
37844.611529,-75.015380
38095.238095,-74.944830
38345.864662,-74.997750
38596.491228,-75.044780
38847.117794,-74.809600
39097.744361,-75.056540
39348.370927,-74.962470
39598.997494,-75.027150
39849.624060,-75.003630
40100.250627,-75.021270
40350.877193,-74.874280
40601.503759,-74.886040
40852.130326,-74.891920
41102.756892,-74.774330
41353.383459,-74.880160
41604.010025,-74.915440
41854.636591,-74.715530
42105.263158,-74.674370
42355.889724,-74.715530
42606.516291,-74.721410
42857.142857,-74.586180
43107.769424,-74.633220
43358.395990,-74.733170
43609.022556,-74.709650
43859.649123,-74.662620
44110.275689,-74.527390
44360.902256,-74.380400
44611.528822,-74.597940
44862.155388,-74.545020
45112.781955,-74.627340
45363.408521,-74.456830
45614.035088,-74.398040
45864.661654,-74.386280
46115.288221,-74.515630
46365.914787,-74.627340
46616.541353,-74.545020
46867.167920,-74.474470
47117.794486,-74.239290
47368.421053,-74.468590
47619.047619,-74.497990
47869.674185,-74.615580
48120.300752,-74.515630
48370.927318,-74.380400
48621.553885,-74.339240
48872.180451,-74.415680
49122.807018,-74.403920
49373.433584,-74.374520
49624.060150,-74.439200
49874.686717,-74.339240
50125.313283,-74.298090
50375.939850,-74.362760
50626.566416,-74.298090
50877.192982,-74.192260
51127.819549,-74.339240
51378.446115,-74.345120
51629.072682,-74.345120
51879.699248,-74.309840
52130.325815,-74.374520
52380.952381,-74.168740
52631.578947,-74.339240
52882.205514,-74.268690
53132.832080,-74.351000
53383.458647,-74.556790
53634.085213,-74.427440
53884.711779,-74.427440
54135.338346,-74.415680
54385.964912,-74.421560
54636.591479,-74.386280
54887.218045,-74.292210
55137.844612,-74.421560
55388.471178,-74.445080
55639.097744,-74.545020
55889.724311,-74.462720
56140.350877,-74.403920
56390.977444,-74.415680
56641.604010,-74.480350
56892.230576,-74.421560
57142.857143,-74.509750
57393.483709,-74.480350
57644.110276,-74.527390
57894.736842,-74.351000
58145.363409,-74.427440
58395.989975,-74.503870
58646.616541,-74.398040
58897.243108,-74.427440
59147.869674,-74.486230
59398.496241,-74.392160
59649.122807,-74.433320
59899.749373,-74.492110
60150.375940,-74.315730
60401.002506,-74.251050
60651.629073,-74.286330
60902.255639,-74.280450
61152.882206,-74.415680
61403.508772,-74.345120
61654.135338,-74.239290
61904.761905,-74.274570
62155.388471,-74.374520
62406.015038,-74.462720
62656.641604,-74.233410
62907.268170,-74.174620
63157.894737,-74.262810
63408.521303,-74.215770
63659.147870,-74.215770
63909.774436,-73.786570
64160.401003,-74.121700
64411.027569,-74.104060
64661.654135,-74.162860
64912.280702,-73.627830
65162.907268,-73.939440
65413.533835,-74.086430
65664.160401,-74.098190
65914.786967,-73.921800
66165.413534,-73.845370
66416.040100,-74.115820
66666.666667,-74.186380
66917.293233,-74.104060
67167.919799,-74.204020
67418.546366,-74.068790
67669.172932,-74.098190
67919.799499,-74.204020
68170.426065,-74.127580
68421.052632,-74.062910
68671.679198,-74.004110
68922.305764,-74.092300
69172.932331,-74.033510
69423.558897,-73.939440
69674.185464,-74.162860
69924.812030,-73.951200
70175.438596,-74.204020
70426.065163,-73.757180
70676.691729,-73.880650
70927.318296,-74.092300
71177.944862,-74.009990
71428.571429,-74.121700
71679.197995,-74.080550
71929.824561,-74.092300
72180.451128,-74.021750
72431.077694,-74.180500
72681.704261,-74.062910
72932.330827,-74.057030
73182.957393,-74.062910
73433.583960,-74.074670
73684.210526,-74.098190
73934.837093,-74.045270
74185.463659,-74.162860
74436.090226,-73.904160
74686.716792,-73.904160
74937.343358,-74.121700
75187.969925,-74.004110
75438.596491,-74.098190
75689.223058,-74.068790
75939.849624,-74.115820
76190.476190,-74.151100
76441.102757,-74.215770
76691.729323,-74.015870
76942.355890,-74.021750
77192.982456,-74.015870
77443.609023,-74.004110
77694.235589,-74.221650
77944.862155,-74.109940
78195.488722,-73.804210
78446.115288,-73.951200
78696.741855,-74.104060
78947.368421,-74.162860
79197.994987,-74.174620
79448.621554,-74.156980
79699.248120,-74.139340
79949.874687,-74.045270
80200.501253,-74.098190
