# f [Hz], A [dBV]
# 
0.000000,-60.607670
250.626566,-76.223600
501.253133,-73.560190
751.879699,-80.609700
1002.506266,-94.579370
1253.132832,-77.664080
1503.759398,-73.172140
1754.385965,-75.135890
2005.012531,-85.078110
2255.639098,-71.896290
2506.265664,-74.606740
2756.892231,-73.213300
3007.518797,-72.202030
3258.145363,-77.093770
3508.771930,-76.929140
3759.398496,-71.414180
4010.025063,-75.917870
4260.651629,-78.105030
4511.278195,-70.508740
4761.904762,-73.072190
5012.531328,-84.848820
5263.157895,-87.723880
5513.784461,-74.765490
5764.411028,-76.835070
6015.037594,-73.536670
6265.664160,-88.993860
6516.290727,-81.615090
6766.917293,-77.993320
7017.543860,-81.497510
7268.170426,-76.358830
7518.796992,-79.445560
7769.423559,-73.907080
8020.050125,-78.216750
8270.676692,-81.797360
8521.303258,-74.700810
8771.929825,-86.154060
9022.556391,-79.604310
9273.182957,-78.299060
9523.809524,-87.329960
9774.436090,-77.775790
10025.062657,-74.336280
10275.689223,-70.914420
10526.315789,-71.778700
10776.942356,-73.630740
11027.568922,-74.212810
11278.195489,-84.372580
11528.822055,-69.979580
11779.448622,-82.726320
12030.075188,-76.411740
12280.701754,-73.701300
12531.328321,-79.798330
12781.954887,-76.629290
13032.581454,-80.333370
13283.208020,-93.662170
13533.834586,-74.248090
13784.461153,-71.666990
14035.087719,-81.038900
14285.714286,-78.546000
14536.340852,-84.566600
14786.967419,-78.446050
15037.593985,-79.598430
15288.220551,-80.762570
15538.847118,-76.094250
15789.473684,-71.420050
16040.100251,-77.117280
16290.726817,-78.898770
16541.353383,-78.498960
16791.979950,-77.852220
17042.606516,-75.088860
17293.233083,-78.093280
17543.859649,-70.532250
17794.486216,-83.637640
18045.112782,-75.570980
18295.739348,-80.615580
18546.365915,-73.842410
18796.992481,-81.515140
19047.619048,-81.432830
19298.245614,-76.823310
19548.872180,-73.677780
19799.498747,-79.175110
20050.125313,-81.920830
20300.751880,-91.051680
20551.378446,-78.916410
20802.005013,-81.850270
21052.631579,-82.220680
21303.258145,-75.629770
21553.884712,-72.960480
21804.511278,-73.272090
22055.137845,-78.916410
22305.764411,-86.889000
22556.390977,-76.464660
22807.017544,-78.187350
23057.644110,-76.729230
23308.270677,-72.619470
23558.897243,-81.573940
23809.523810,-73.577830
24060.150376,-71.960970
24310.776942,-85.460280
24561.403509,-76.788030
24812.030075,-77.452420
25062.656642,-73.360290
25313.283208,-75.970780
25563.909774,-74.753720
25814.536341,-83.467130
26065.162907,-85.389730
26315.789474,-78.687110
26566.416040,-75.888470
26817.042607,-84.695950
27067.669173,-79.416160
27318.295739,-75.941380
27568.922306,-86.265770
27819.548872,-74.542070
28070.175439,-73.954120
28320.802005,-78.440170
28571.428571,-76.335310
28822.055138,-81.191770
29072.681704,-83.978650
29323.308271,-70.785070
29573.934837,-86.794930
29824.561404,-74.212810
30075.187970,-79.839490
30325.814536,-84.984040
30576.441103,-78.263790
30827.067669,-78.910530
31077.694236,-71.425930
31328.320802,-76.170680
31578.947368,-72.225550
31829.573935,-78.128560
32080.200501,-76.823310
32330.827068,-83.578850
32581.453634,-75.794400
32832.080201,-74.277490
33082.706767,-77.664080
33333.333333,-77.087880
33583.959900,-76.558730
33834.586466,-71.831620
34085.213033,-76.476420
34335.839599,-79.627830
34586.466165,-80.515630
34837.092732,-83.931610
35087.719298,-76.170680
35338.345865,-78.740020
35588.972431,-79.280940
35839.598997,-71.602320
36090.225564,-72.642990
36340.852130,-82.679280
36591.478697,-82.596970
36842.105263,-72.513640
37092.731830,-69.338710
37343.358396,-78.581280
37593.984962,-75.565090
37844.611529,-73.789490
38095.238095,-75.582730
38345.864662,-83.002660
38596.491228,-78.293180
38847.117794,-82.632250
39097.744361,-83.578850
39348.370927,-82.467620
39598.997494,-81.321120
39849.624060,-82.861550
40100.250627,-73.671900
40350.877193,-75.412230
40601.503759,-72.066800
40852.130326,-77.570010
41102.756892,-81.103580
41353.383459,-79.175110
41604.010025,-76.311790
41854.636591,-86.348080
42105.263158,-72.143230
42355.889724,-76.452900
42606.516291,-74.877200
42857.142857,-72.354900
43107.769424,-66.810530
43358.395990,-76.752750
43609.022556,-77.958050
43859.649123,-68.962430
44110.275689,-86.783170
44360.902256,-75.518060
44611.528822,-79.951200
44862.155388,-77.364220
45112.781955,-85.724860
45363.408521,-75.471020
45614.035088,-77.140800
45864.661654,-80.962470
46115.288221,-75.265240
46365.914787,-80.098190
46616.541353,-71.772830
46867.167920,-80.151100
47117.794486,-72.760580
47368.421053,-83.572960
47619.047619,-91.139870
47869.674185,-77.658200
48120.300752,-76.123650
48370.927318,-80.944830
48621.553885,-74.765490
48872.180451,-77.552370
49122.807018,-80.903680
49373.433584,-75.288760
49624.060150,-78.587150
49874.686717,-88.182490
50125.313283,-80.051150
50375.939850,-73.266210
50626.566416,-77.640560
50877.192982,-71.784580
51127.819549,-72.625350
51378.446115,-86.083510
51629.072682,-68.885990
51879.699248,-78.351970
52130.325815,-84.155030
52380.952381,-74.083470
52631.578947,-78.134440
52882.205514,-75.788520
53132.832080,-76.470540
53383.458647,-69.926670
53634.085213,-74.583220
53884.711779,-76.887990
54135.338346,-80.803720
54385.964912,-80.321610
54636.591479,-88.364750
54887.218045,-79.645470
55137.844612,-71.161350
55388.471178,-82.638130
55639.097744,-78.299060
55889.724311,-68.980060
56140.350877,-82.214800
56390.977444,-73.589580
56641.604010,-71.437690
56892.230576,-72.860530
57142.857143,-78.969320
57393.483709,-84.478400
57644.110276,-82.855670
57894.736842,-74.265730
58145.363409,-93.491670
58395.989975,-71.137840
58646.616541,-83.425980
58897.243108,-83.302510
59147.869674,-87.541620
59398.496241,-77.099650
59649.122807,-72.401930
59899.749373,-78.916410
60150.375940,-73.889440
60401.002506,-77.023210
60651.629073,-84.519560
60902.255639,-75.935500
61152.882206,-76.470540
61403.508772,-69.421030
61654.135338,-80.145220
61904.761905,-69.720880
62155.388471,-76.793910
62406.015038,-82.038420
62656.641604,-72.725300
62907.268170,-71.537640
63157.894737,-84.678310
63408.521303,-71.320110
63659.147870,-71.102560
63909.774436,-73.566070
64160.401003,-75.929630
64411.027569,-76.570490
64661.654135,-71.578800
64912.280702,-69.750280
65162.907268,-74.230450
65413.533835,-70.773310
65664.160401,-82.391190
65914.786967,-75.018300
66165.413534,-73.272090
66416.040100,-78.487210
66666.666667,-80.415680
66917.293233,-74.706690
67167.919799,-78.528360
67418.546366,-72.778220
67669.172932,-77.687590
67919.799499,-74.224570
68170.426065,-71.273070
68421.052632,-74.059940
68671.679198,-76.652800
68922.305764,-80.045270
69172.932331,-77.693470
69423.558897,-77.652310
69674.185464,-71.943330
69924.812030,-75.864950
70175.438596,-70.173600
70426.065163,-84.278500
70676.691729,-78.428410
70927.318296,-72.578320
71177.944862,-69.344600
71428.571429,-76.758640
71679.197995,-80.903680
71929.824561,-75.906110
72180.451128,-74.547940
72431.077694,-77.352460
72681.704261,-81.521020
72932.330827,-73.448480
73182.957393,-74.218700
73433.583960,-73.213300
73684.210526,-77.528850
73934.837093,-89.311350
74185.463659,-72.055040
74436.090226,-74.371560
74686.716792,-75.935500
74937.343358,-75.412230
75187.969925,-90.422570
75438.596491,-79.386770
75689.223058,-70.826230
75939.849624,-73.489640
76190.476190,-70.702760
76441.102757,-73.971760
76691.729323,-79.139830
76942.355890,-74.389200
77192.982456,-91.116350
77443.609023,-75.447510
77694.235589,-71.537640
77944.862155,-68.127540
78195.488722,-77.575880
78446.115288,-78.622430
78696.741855,-73.354410
78947.368421,-74.565580
79197.994987,-89.046770
79448.621554,-76.211840
79699.248120,-80.492110
79949.874687,-79.633710
80200.501253,-85.419120
80451.127820,-71.878650
80701.754386,-80.956590
80952.380952,-73.783610
81203.007519,-79.251540
81453.634085,-87.077140
81704.260652,-69.285800
81954.887218,-71.408290
82205.513784,-72.672390
82456.140351,-77.587640
82706.766917,-80.104060
82957.393484,-71.931570
83208.020050,-73.583710
83458.646617,-85.619030
83709.273183,-70.890900
83959.899749,-78.363730
84210.526316,-83.966890
84461.152882,-89.305470
84711.779449,-76.770390
84962.406015,-73.548430
85213.032581,-76.823310
85463.659148,-72.837010
85714.285714,-79.962960
85964.912281,-87.953190
86215.538847,-86.295170
86466.165414,-69.897270
86716.791980,-71.590560
86967.418546,-71.084920
87218.045113,-76.035450
87468.671679,-81.115340
87719.298246,-76.588130
87969.924812,-73.912960
88220.551378,-77.993320
88471.177945,-77.070240
88721.804511,-72.737060
88972.431078,-76.641040
89223.057644,-72.407810
89473.684211,-73.189780
89724.310777,-74.459750
89974.937343,-77.634680
90225.563910,-76.094250
90476.190476,-72.431330
90726.817043,-70.073650
90977.443609,-71.861020
91228.070175,-75.582730
91478.696742,-76.329430
91729.323308,-88.664600
91979.949875,-74.353920
92230.576441,-71.884540
92481.203008,-71.766940
92731.829574,-76.946780
92982.456140,-73.889440
93233.082707,-77.223110
93483.709273,-75.847310
93734.335840,-72.166750
93984.962406,-70.661600
94235.588972,-73.213300
94486.215539,-72.272580
94736.842105,-68.780170
94987.468672,-73.060430
95238.095238,-79.551390
95488.721805,-71.872770
95739.348371,-76.776280
95989.974937,-69.732640
96240.601504,-75.647410
96491.228070,-97.836610
96741.854637,-77.428890
96992.481203,-74.589100
97243.107769,-73.771850
97493.734336,-80.509750
97744.360902,-76.811550
97994.987469,-68.927150
98245.614035,-81.609210
98496.240602,-75.829670
98746.867168,-81.097700
98997.493734,-76.047220
99248.120301,-77.605280
99498.746867,-71.126080
99749.373434,-74.095220
100000.000000,-72.566560
