# f [Hz], A [dBV]
# 
0.000000,-71.562180
250.626566,-72.085450
501.253133,-74.472530
751.879699,-78.799840
1002.506266,-80.822380
1253.132832,-80.769460
1503.759398,-80.628360
1754.385965,-80.628360
2005.012531,-80.663630
2255.639098,-80.716550
2506.265664,-80.792980
2756.892231,-80.628360
3007.518797,-80.375540
3258.145363,-80.199150
3508.771930,-80.110960
3759.398496,-80.069810
4010.025063,-79.922820
4260.651629,-79.769950
4511.278195,-79.681760
4761.904762,-79.640600
5012.531328,-79.628840
5263.157895,-79.640600
5513.784461,-79.681760
5764.411028,-79.611200
6015.037594,-79.440700
6265.664160,-79.328990
6516.290727,-79.229030
6766.917293,-79.158480
7017.543860,-79.082050
7268.170426,-78.976220
7518.796992,-78.823350
7769.423559,-78.770440
8020.050125,-78.793950
8270.676692,-78.752800
8521.303258,-78.688120
8771.929825,-78.594050
9022.556391,-78.552890
9273.182957,-78.505860
9523.809524,-78.476460
9774.436090,-78.429420
10025.062657,-78.329480
10275.689223,-78.253040
10526.315789,-78.170730
10776.942356,-78.135450
11027.568922,-78.076660
11278.195489,-78.059020
11528.822055,-78.064900
11779.448622,-78.023740
12030.075188,-77.941430
12280.701754,-77.882630
12531.328321,-77.829720
12781.954887,-77.747410
13032.581454,-77.723880
13283.208020,-77.635690
13533.834586,-77.482830
13784.461153,-77.388760
14035.087719,-77.400510
14285.714286,-77.435790
14536.340852,-77.359360
14786.967419,-77.230010
15037.593985,-77.047740
15288.220551,-76.883120
15538.847118,-76.765530
15789.473684,-76.753770
16040.100251,-76.742010
16290.726817,-76.789050
16541.353383,-76.994830
16791.979950,-77.124180
17042.606516,-77.047740
17293.233083,-76.765530
17543.859649,-76.553870
17794.486216,-76.401000
18045.112782,-76.365720
18295.739348,-76.348080
18546.365915,-76.330450
18796.992481,-76.424520
19047.619048,-76.477430
19298.245614,-76.406880
19548.872180,-76.306930
19799.498747,-76.148180
20050.125313,-75.995320
20300.751880,-75.895360
20551.378446,-75.783650
20802.005013,-75.760140
21052.631579,-75.848330
21303.258145,-75.860090
21553.884712,-75.877730
21804.511278,-75.960040
22055.137845,-75.954160
22305.764411,-75.848330
22556.390977,-75.742500
22807.017544,-75.630790
23057.644110,-75.583750
23308.270677,-75.566110
23558.897243,-75.624910
23809.523810,-75.595510
24060.150376,-75.442640
24310.776942,-75.342690
24561.403509,-75.313290
24812.030075,-75.325050
25062.656642,-75.372090
25313.283208,-75.289780
25563.909774,-75.189830
25814.536341,-75.260380
26065.162907,-75.236860
26315.789474,-75.066360
26566.416040,-74.984040
26817.042607,-75.042840
27067.669173,-75.219220
27318.295739,-75.330930
27568.922306,-75.189830
27819.548872,-75.007560
28070.175439,-74.813540
28320.802005,-74.601880
28571.428571,-74.531320
28822.055138,-74.572480
29072.681704,-74.684190
29323.308271,-74.713580
29573.934837,-74.619510
29824.561404,-74.572480
30075.187970,-74.507800
30325.814536,-74.478400
30576.441103,-74.460770
30827.067669,-74.472530
31077.694236,-74.431370
31328.320802,-74.366700
31578.947368,-74.290260
31829.573935,-74.125640
32080.200501,-74.043320
32330.827068,-73.984530
32581.453634,-73.931610
32832.080201,-74.060960
33082.706767,-74.119760
33333.333333,-74.172670
33583.959900,-74.149150
33834.586466,-74.008050
34085.213033,-73.984530
34335.839599,-74.025680
34586.466165,-74.008050
34837.092732,-73.966890
35087.719298,-73.896340
35338.345865,-73.737590
35588.972431,-73.714070
35839.598997,-73.802270
36090.225564,-73.761110
36340.852130,-73.696430
36591.478697,-73.696430
36842.105263,-73.620000
37092.731830,-73.531810
37343.358396,-73.455380
37593.984962,-73.467130
37844.611529,-73.484770
38095.238095,-73.443610
38345.864662,-73.367180
38596.491228,-73.308390
38847.117794,-73.320150
39097.744361,-73.414220
39348.370927,-73.496530
39598.997494,-73.484770
39849.624060,-73.408340
40100.250627,-73.349540
40350.877193,-73.349540
40601.503759,-73.314270
40852.130326,-73.167280
41102.756892,-73.020290
41353.383459,-72.885060
41604.010025,-72.832150
41854.636591,-72.885060
42105.263158,-72.908580
42355.889724,-72.902700
42606.516291,-72.861550
42857.142857,-72.785110
43107.769424,-72.785110
43358.395990,-72.790990
43609.022556,-72.755710
43859.649123,-72.673400
44110.275689,-72.596970
44360.902256,-72.526420
44611.528822,-72.438220
44862.155388,-72.426460
45112.781955,-72.432340
45363.408521,-72.485260
45614.035088,-72.561690
45864.661654,-72.614610
46115.288221,-72.608730
46365.914787,-72.567570
46616.541353,-72.526420
46867.167920,-72.502900
47117.794486,-72.432340
47368.421053,-72.432340
47619.047619,-72.467620
47869.674185,-72.408820
48120.300752,-72.361790
48370.927318,-72.355910
48621.553885,-72.397070
48872.180451,-72.426460
49122.807018,-72.414700
49373.433584,-72.461740
49624.060150,-72.426460
49874.686717,-72.255960
50125.313283,-72.108970
50375.939850,-72.026660
50626.566416,-71.997260
50877.192982,-72.003140
51127.819549,-72.061940
51378.446115,-72.132490
51629.072682,-72.144250
51879.699248,-72.144250
52130.325815,-72.161890
52380.952381,-72.132490
52631.578947,-72.103090
52882.205514,-72.126610
53132.832080,-72.120730
53383.458647,-72.044300
53634.085213,-71.950230
53884.711779,-71.844390
54135.338346,-71.779720
54385.964912,-71.797360
54636.591479,-71.862030
54887.218045,-71.891430
55137.844612,-71.879670
55388.471178,-71.873790
55639.097744,-71.797360
55889.724311,-71.791480
56140.350877,-71.767960
56390.977444,-71.691530
56641.604010,-71.691530
56892.230576,-71.726800
57142.857143,-71.744440
57393.483709,-71.767960
57644.110276,-71.720920
57894.736842,-71.703290
58145.363409,-71.703290
58395.989975,-71.679770
58646.616541,-71.679770
58897.243108,-71.750320
59147.869674,-71.691530
59398.496241,-71.556300
59649.122807,-71.573940
59899.749373,-71.632730
60150.375940,-71.544540
60401.002506,-71.473990
60651.629073,-71.515140
60902.255639,-71.562180
61152.882206,-71.591580
61403.508772,-71.620970
61654.135338,-71.568060
61904.761905,-71.362270
62155.388471,-71.332880
62406.015038,-71.456350
62656.641604,-71.544540
62907.268170,-71.532780
63157.894737,-71.450470
63408.521303,-71.450470
63659.147870,-71.526900
63909.774436,-71.644490
64160.401003,-71.585700
64411.027569,-71.391670
64661.654135,-71.274080
64912.280702,-71.174130
65162.907268,-71.138850
65413.533835,-71.021270
65664.160401,-70.903680
65914.786967,-70.909550
66165.413534,-70.956590
66416.040100,-71.021270
66666.666667,-71.085940
66917.293233,-71.062420
67167.919799,-70.985990
67418.546366,-70.980110
67669.172932,-71.050660
67919.799499,-71.162370
68170.426065,-71.185890
68421.052632,-70.991870
68671.679198,-70.886040
68922.305764,-71.021270
69172.932331,-71.138850
69423.558897,-71.097700
69674.185464,-70.997750
69924.812030,-70.956590
70175.438596,-70.980110
70426.065163,-70.962470
70676.691729,-70.938950
70927.318296,-70.944830
71177.944862,-70.968350
71428.571429,-71.044780
71679.197995,-71.062420
71929.824561,-71.091820
72180.451128,-71.085940
72431.077694,-70.933070
72681.704261,-70.868400
72932.330827,-70.891920
73182.957393,-70.839000
73433.583960,-70.697900
73684.210526,-70.674370
73934.837093,-70.768450
74185.463659,-70.856640
74436.090226,-70.974230
74686.716792,-71.080060
74937.343358,-71.062420
75187.969925,-70.991870
75438.596491,-70.844880
75689.223058,-70.739050
75939.849624,-70.856640
76190.476190,-70.903680
76441.102757,-70.903680
76691.729323,-70.844880
76942.355890,-70.744930
77192.982456,-70.791970
77443.609023,-70.744930
77694.235589,-70.615580
77944.862155,-70.562660
78195.488722,-70.603820
78446.115288,-70.686130
78696.741855,-70.686130
78947.368421,-70.727290
79197.994987,-70.750810
79448.621554,-70.662620
79699.248120,-70.680260
79949.874687,-70.709650
80200.501253,-70.733170
80451.127820,-70.821360
80701.754386,-70.868400
80952.380952,-70.874280
81203.007519,-70.744930
81453.634085,-70.492110
81704.260652,-70.427440
81954.887218,-70.398040
82205.513784,-70.321610
82456.140351,-70.327480
82706.766917,-70.351000
82957.393484,-70.421560
83208.020050,-70.592060
