# f [Hz], A [dBV]
# 
0.000000,-77.076080
250.626566,-86.700810
501.253133,-88.723360
751.879699,-89.099650
1002.506266,-89.446530
1253.132832,-89.375980
1503.759398,-89.352460
1754.385965,-89.158440
2005.012531,-89.440650
2255.639098,-89.381860
2506.265664,-89.558240
2756.892231,-89.528850
3007.518797,-89.323070
3258.145363,-89.375980
3508.771930,-89.452420
3759.398496,-89.428890
4010.025063,-89.340710
4260.651629,-89.334820
4511.278195,-89.293670
4761.904762,-89.375980
5012.531328,-89.370100
5263.157895,-89.305430
5513.784461,-89.305430
5764.411028,-89.270150
6015.037594,-89.229000
6265.664160,-89.229000
6516.290727,-89.264270
6766.917293,-89.246630
7017.543860,-89.246630
7268.170426,-89.199590
7518.796992,-89.234870
7769.423559,-89.093770
8020.050125,-89.087880
8270.676692,-89.105520
8521.303258,-89.229000
8771.929825,-89.140800
9022.556391,-89.076130
9273.182957,-89.193720
9523.809524,-89.082010
9774.436090,-88.923260
10025.062657,-89.029090
10275.689223,-88.987930
10526.315789,-89.070240
10776.942356,-88.887990
11027.568922,-88.893860
11278.195489,-88.805670
11528.822055,-88.952660
11779.448622,-88.952660
12030.075188,-88.840950
12280.701754,-88.805670
12531.328321,-88.693960
12781.954887,-88.676320
13032.581454,-88.805670
13283.208020,-88.652800
13533.834586,-88.776280
13784.461153,-88.729230
14035.087719,-88.699840
14285.714286,-88.693960
14536.340852,-88.570490
14786.967419,-88.699840
15037.593985,-88.494060
15288.220551,-88.541090
15538.847118,-88.588130
15789.473684,-88.564610
16040.100251,-88.552850
16290.726817,-88.399990
16541.353383,-88.570490
16791.979950,-88.488170
17042.606516,-88.523450
17293.233083,-88.335310
17543.859649,-88.399990
17794.486216,-88.382350
18045.112782,-88.394100
18295.739348,-88.423500
18546.365915,-88.288280
18796.992481,-88.288280
19047.619048,-88.264760
19298.245614,-88.311790
19548.872180,-88.323550
19799.498747,-88.247120
20050.125313,-88.153050
20300.751880,-88.264760
20551.378446,-88.200080
20802.005013,-88.182440
21052.631579,-87.970780
21303.258145,-88.094250
21553.884712,-88.153050
21804.511278,-88.094250
22055.137845,-88.006060
22305.764411,-88.205960
22556.390977,-88.070730
22807.017544,-88.011940
23057.644110,-87.941380
23308.270677,-87.876710
23558.897243,-87.959020
23809.523810,-87.970780
24060.150376,-87.911990
24310.776942,-87.947270
24561.403509,-87.935500
24812.030075,-87.900230
25062.656642,-87.788520
25313.283208,-87.717960
25563.909774,-87.847310
25814.536341,-87.959020
26065.162907,-87.906110
26315.789474,-87.782640
26566.416040,-87.618010
26817.042607,-87.770880
27067.669173,-87.706210
27318.295739,-87.706210
27568.922306,-87.588620
27819.548872,-87.612130
28070.175439,-87.747360
28320.802005,-87.676800
28571.428571,-87.712080
28822.055138,-87.500420
29072.681704,-87.494540
29323.308271,-87.423990
29573.934837,-87.453380
29824.561404,-87.559220
30075.187970,-87.441630
30325.814536,-87.418110
30576.441103,-87.453380
30827.067669,-87.376950
31077.694236,-87.441630
31328.320802,-87.482780
31578.947368,-87.329920
31829.573935,-87.335800
32080.200501,-87.441630
32330.827068,-87.359310
32581.453634,-87.147650
32832.080201,-87.218210
33082.706767,-87.265240
33333.333333,-87.318160
33583.959900,-87.241720
33834.586466,-87.188810
34085.213033,-87.235850
34335.839599,-87.059460
34586.466165,-87.182930
34837.092732,-87.094730
35087.719298,-87.082980
35338.345865,-87.100620
35588.972431,-86.988910
35839.598997,-87.094730
36090.225564,-87.012430
36340.852130,-87.206450
36591.478697,-86.959510
36842.105263,-86.953630
37092.731830,-86.983020
37343.358396,-86.941870
37593.984962,-86.906590
37844.611529,-86.977150
38095.238095,-86.912480
38345.864662,-87.006550
38596.491228,-86.824280
38847.117794,-86.894840
39097.744361,-86.906590
39348.370927,-86.783130
39598.997494,-86.824280
39849.624060,-86.847800
40100.250627,-86.741970
40350.877193,-86.712570
40601.503759,-86.741970
40852.130326,-86.753720
41102.756892,-86.724330
41353.383459,-86.741970
41604.010025,-86.706690
41854.636591,-86.853680
42105.263158,-86.700810
42355.889724,-86.771360
42606.516291,-86.694930
42857.142857,-86.659650
43107.769424,-86.565580
43358.395990,-86.500910
43609.022556,-86.600860
43859.649123,-86.553830
44110.275689,-86.547940
44360.902256,-86.571460
44611.528822,-86.547940
44862.155388,-86.542070
45112.781955,-86.542070
45363.408521,-86.659650
45614.035088,-86.489150
45864.661654,-86.559700
46115.288221,-86.471510
46365.914787,-86.489150
46616.541353,-86.371560
46867.167920,-86.436230
47117.794486,-86.365680
47368.421053,-86.453870
47619.047619,-86.442120
47869.674185,-86.412720
48120.300752,-86.283370
48370.927318,-86.377440
48621.553885,-86.265730
48872.180451,-86.353920
49122.807018,-86.277490
49373.433584,-86.295130
49624.060150,-86.271610
49874.686717,-86.306880
50125.313283,-86.224570
50375.939850,-86.318640
50626.566416,-86.259850
50877.192982,-86.289250
51127.819549,-86.342160
51378.446115,-86.336280
51629.072682,-86.289250
51879.699248,-86.265730
52130.325815,-86.177540
52380.952381,-86.165780
52631.578947,-86.030550
52882.205514,-86.136380
53132.832080,-86.148140
53383.458647,-86.101100
53634.085213,-86.007030
53884.711779,-86.206930
54135.338346,-86.048190
54385.964912,-86.177540
54636.591479,-86.136380
54887.218045,-86.195180
55137.844612,-86.059940
55388.471178,-86.030550
55639.097744,-86.089350
55889.724311,-86.065830
56140.350877,-86.095220
56390.977444,-86.136380
56641.604010,-85.989400
56892.230576,-86.089350
57142.857143,-85.948230
57393.483709,-85.948230
57644.110276,-86.106980
57894.736842,-85.912960
58145.363409,-86.077580
58395.989975,-85.865920
58646.616541,-85.977630
58897.243108,-85.912960
59147.869674,-85.965870
59398.496241,-86.007030
59649.122807,-85.983510
59899.749373,-85.930600
60150.375940,-86.007030
60401.002506,-85.930600
60651.629073,-85.865920
60902.255639,-85.865920
61152.882206,-85.842410
61403.508772,-85.818890
61654.135338,-85.877690
61904.761905,-85.848280
62155.388471,-85.912960
62406.015038,-85.789490
62656.641604,-85.748340
62907.268170,-85.771850
63157.894737,-85.854160
63408.521303,-85.654260
63659.147870,-85.760090
63909.774436,-85.730700
64160.401003,-85.771850
64411.027569,-85.889440
64661.654135,-85.671900
64912.280702,-85.689540
65162.907268,-85.718930
65413.533835,-85.718930
65664.160401,-85.777730
65914.786967,-85.636620
66165.413534,-85.901200
66416.040100,-85.760090
66666.666667,-85.801250
66917.293233,-85.842410
67167.919799,-85.754210
67418.546366,-85.695420
67669.172932,-85.695420
67919.799499,-85.630740
68170.426065,-85.630740
68421.052632,-85.636620
68671.679198,-85.736570
68922.305764,-85.554310
69172.932331,-85.671900
69423.558897,-85.630740
69674.185464,-85.583710
69924.812030,-85.654260
70175.438596,-85.718930
70426.065163,-85.513150
70676.691729,-85.648380
70927.318296,-85.630740
71177.944862,-85.577830
71428.571429,-85.577830
71679.197995,-85.618990
71929.824561,-85.560190
72180.451128,-85.513150
72431.077694,-85.624860
72681.704261,-85.624860
72932.330827,-85.642500
73182.957393,-85.566070
73433.583960,-85.607220
73684.210526,-85.648380
73934.837093,-85.530790
74185.463659,-85.566070
74436.090226,-85.460240
74686.716792,-85.530790
74937.343358,-85.636620
75187.969925,-85.660140
75438.596491,-85.707180
75689.223058,-85.524910
75939.849624,-85.654260
76190.476190,-85.601350
76441.102757,-85.730700
76691.729323,-85.507270
76942.355890,-85.524910
77192.982456,-85.507270
77443.609023,-85.483760
77694.235589,-85.442600
77944.862155,-85.630740
78195.488722,-85.542550
78446.115288,-85.524910
78696.741855,-85.566070
78947.368421,-85.542550
79197.994987,-85.595470
79448.621554,-85.442600
79699.248120,-85.472000
79949.874687,-85.548430
80200.501253,-85.554310
80451.127820,-85.519040
80701.754386,-85.395560
80952.380952,-85.530790
81203.007519,-85.460240
81453.634085,-85.472000
81704.260652,-85.501400
81954.887218,-85.571950
82205.513784,-85.472000
82456.140351,-85.477870
82706.766917,-85.460240
82957.393484,-85.448480
83208.020050,-85.618990
83458.646617,-85.436720
83709.273183,-85.513150
83959.899749,-85.613110
84210.526316,-85.489640
