# f [Hz], A [dBV]
# 
0.000000,-48.044210
250.626566,-48.355830
501.253133,-51.854120
751.879699,-62.249060
1002.506266,-80.081560
1253.132832,-81.680790
1503.759398,-81.563190
1754.385965,-81.445610
2005.012531,-81.292740
2255.639098,-81.116350
2506.265664,-81.039920
2756.892231,-81.051680
3007.518797,-81.133990
3258.145363,-81.139870
3508.771930,-80.922330
3759.398496,-80.763580
4010.025063,-80.675390
4260.651629,-80.551920
4511.278195,-80.475490
4761.904762,-80.387290
5012.531328,-80.222670
5263.157895,-80.181510
5513.784461,-80.163880
5764.411028,-80.011010
6015.037594,-79.893420
6265.664160,-79.787590
6516.290727,-79.787590
6766.917293,-79.805230
7017.543860,-79.717030
7268.170426,-79.523010
7518.796992,-79.346630
7769.423559,-79.229030
8020.050125,-79.152600
8270.676692,-79.182000
8521.303258,-79.193760
8771.929825,-79.099690
9022.556391,-78.940940
9273.182957,-78.782200
9523.809524,-78.605810
9774.436090,-78.470580
10025.062657,-78.329480
10275.689223,-78.229520
10526.315789,-78.241280
10776.942356,-78.388270
11027.568922,-78.511740
11278.195489,-78.405910
11528.822055,-78.135450
11779.448622,-77.929670
12030.075188,-77.800320
12280.701754,-77.723880
12531.328321,-77.706250
12781.954887,-77.794440
13032.581454,-77.841480
13283.208020,-77.794440
13533.834586,-77.647450
13784.461153,-77.482830
14035.087719,-77.377000
14285.714286,-77.388760
14536.340852,-77.476950
14786.967419,-77.571020
15037.593985,-77.565140
15288.220551,-77.435790
15538.847118,-77.347600
15789.473684,-77.312320
16040.100251,-77.271160
16290.726817,-77.171220
16541.353383,-76.965430
16791.979950,-76.812560
17042.606516,-76.747890
17293.233083,-76.671460
17543.859649,-76.542110
17794.486216,-76.483310
18045.112782,-76.471550
18295.739348,-76.448040
18546.365915,-76.453910
18796.992481,-76.536230
19047.619048,-76.512710
19298.245614,-76.406880
19548.872180,-76.289290
19799.498747,-76.224620
20050.125313,-76.259890
20300.751880,-76.301050
20551.378446,-76.283410
20802.005013,-76.201100
21052.631579,-76.030590
21303.258145,-75.801290
21553.884712,-75.601390
21804.511278,-75.477920
22055.137845,-75.477920
22305.764411,-75.483800
22556.390977,-75.513200
22807.017544,-75.495560
23057.644110,-75.319180
23308.270677,-75.101630
23558.897243,-74.948760
23809.523810,-74.901730
24060.150376,-74.913490
24310.776942,-74.919370
24561.403509,-74.831180
24812.030075,-74.672430
25062.656642,-74.554840
25313.283208,-74.554840
25563.909774,-74.513680
25814.536341,-74.460770
26065.162907,-74.501930
26315.789474,-74.484290
26566.416040,-74.366700
26817.042607,-74.266750
27067.669173,-74.196190
27318.295739,-74.155030
27568.922306,-74.184430
27819.548872,-74.108000
28070.175439,-73.961010
28320.802005,-73.814030
28571.428571,-73.761110
28822.055138,-73.749350
29072.681704,-73.743470
29323.308271,-73.808140
29573.934837,-73.825780
29824.561404,-73.855180
30075.187970,-73.866940
30325.814536,-73.855180
30576.441103,-73.784630
30827.067669,-73.761110
31077.694236,-73.719950
31328.320802,-73.572960
31578.947368,-73.420100
31829.573935,-73.302510
32080.200501,-73.249590
32330.827068,-73.249590
32581.453634,-73.331910
32832.080201,-73.396580
33082.706767,-73.361300
33333.333333,-73.355420
33583.959900,-73.384820
33834.586466,-73.314270
34085.213033,-73.184920
34335.839599,-73.008530
34586.466165,-72.843910
34837.092732,-72.767480
35087.719298,-72.773350
35338.345865,-72.779230
35588.972431,-72.779230
35839.598997,-72.743960
36090.225564,-72.555810
36340.852130,-72.302990
36591.478697,-72.161890
36842.105263,-71.914950
37092.731830,-71.573940
37343.358396,-71.285840
37593.984962,-70.962470
37844.611529,-70.621460
38095.238095,-70.403920
38345.864662,-70.209900
38596.491228,-69.933560
38847.117794,-69.557270
39097.744361,-69.116310
39348.370927,-68.634190
39598.997494,-67.875740
39849.624060,-67.181950
40100.250627,-66.664560
40350.877193,-66.170680
40601.503759,-65.659170
40852.130326,-64.830160
41102.756892,-63.930600
41353.383459,-63.048680
41604.010025,-62.401930
41854.636591,-62.166750
42105.263158,-62.131470
42355.889724,-61.913930
42606.516291,-61.708150
42857.142857,-61.596440
43107.769424,-61.408290
43358.395990,-61.455330
43609.022556,-61.643480
43859.649123,-61.714030
44110.275689,-61.625840
44360.902256,-61.496490
44611.528822,-61.420050
44862.155388,-61.537640
45112.781955,-61.808100
45363.408521,-62.102070
45614.035088,-62.384290
45864.661654,-62.160870
46115.288221,-61.684630
46365.914787,-61.414180
46616.541353,-61.531770
46867.167920,-61.843380
47117.794486,-62.237300
47368.421053,-62.431330
47619.047619,-62.237300
47869.674185,-61.837500
48120.300752,-61.608200
48370.927318,-61.772830
48621.553885,-62.090320
48872.180451,-62.231420
49122.807018,-61.966850
49373.433584,-61.472970
49624.060150,-61.220150
49874.686717,-61.220150
50125.313283,-61.431820
50375.939850,-61.661120
50626.566416,-61.437690
50877.192982,-61.114320
51127.819549,-60.984970
51378.446115,-61.067280
51629.072682,-61.237790
51879.699248,-61.226030
52130.325815,-60.761550
52380.952381,-60.114810
52631.578947,-59.814960
52882.205514,-60.056020
53132.832080,-60.820340
53383.458647,-61.696390
53634.085213,-62.231420
53884.711779,-62.401930
54135.338346,-62.554790
54385.964912,-63.148630
54636.591479,-64.183420
54887.218045,-65.359310
55137.844612,-66.205960
55388.471178,-66.670440
55639.097744,-67.005570
55889.724311,-67.411250
56140.350877,-67.869860
56390.977444,-68.340220
56641.604010,-68.751780
56892.230576,-68.934040
57142.857143,-68.939930
57393.483709,-68.892890
57644.110276,-68.904650
57894.736842,-68.875250
58145.363409,-68.787060
58395.989975,-68.710620
58646.616541,-68.651830
58897.243108,-68.569520
59147.869674,-68.622430
59398.496241,-68.881130
59649.122807,-69.122190
59899.749373,-69.145710
60150.375940,-68.845850
60401.002506,-68.316700
60651.629073,-67.746390
60902.255639,-67.287790
61152.882206,-66.940900
61403.508772,-66.323550
61654.135338,-65.441630
61904.761905,-64.577340
62155.388471,-64.106980
62406.015038,-64.130500
62656.641604,-64.518550
62907.268170,-64.447990
63157.894737,-63.795370
63408.521303,-63.089830
63659.147870,-62.772340
63909.774436,-63.048680
64160.401003,-63.736570
64411.027569,-64.248090
64661.654135,-63.912960
64912.280702,-63.277980
65162.907268,-62.931080
65413.533835,-63.095710
65664.160401,-63.836520
65914.786967,-64.589100
66165.413534,-64.753720
66416.040100,-64.195180
66666.666667,-63.642500
66917.293233,-63.560190
67167.919799,-63.889440
67418.546366,-64.642010
67669.172932,-65.018300
67919.799499,-64.495030
68170.426065,-63.760090
68421.052632,-63.383800
68671.679198,-63.607220
68922.305764,-64.412720
69172.932331,-65.271130
69423.558897,-65.453380
69674.185464,-65.030060
69924.812030,-64.553830
70175.438596,-64.400960
70426.065163,-64.630260
70676.691729,-64.953630
70927.318296,-65.047700
71177.944862,-64.794880
71428.571429,-64.389200
71679.197995,-64.236330
71929.824561,-64.565580
72180.451128,-65.147650
72431.077694,-65.459270
72681.704261,-65.294640
72932.330827,-64.977150
73182.957393,-64.877200
73433.583960,-65.000660
73684.210526,-65.300520
73934.837093,-65.747360
74185.463659,-65.964900
74436.090226,-65.647410
74686.716792,-64.977150
74937.343358,-64.400960
75187.969925,-64.312770
75438.596491,-64.677290
75689.223058,-65.335800
75939.849624,-65.923740
76190.476190,-65.982540
76441.102757,-65.847310
76691.729323,-65.959020
76942.355890,-66.211840
77192.982456,-66.376460
77443.609023,-66.223600
77694.235589,-65.759120
77944.862155,-65.359310
78195.488722,-65.194690
78446.115288,-65.447510
78696.741855,-65.712080
78947.368421,-65.735600
79197.994987,-65.570980
79448.621554,-65.541580
79699.248120,-65.864950
79949.874687,-66.458780
80200.501253,-66.976170
80451.127820,-67.258390
80701.754386,-67.423020
80952.380952,-67.458290
81203.007519,-67.434780
81453.634085,-67.493570
81704.260652,-67.593520
81954.887218,-67.622920
82205.513784,-67.458290
82456.140351,-67.123160
82706.766917,-66.752750
82957.393484,-66.399990
83208.020050,-66.041340
83458.646617,-65.817920
83709.273183,-65.653290
83959.899749,-65.500420
84210.526316,-65.465150
84461.152882,-65.506300
84711.779449,-65.618010
84962.406015,-65.723850
85213.032581,-65.829670
85463.659148,-65.817920
85714.285714,-65.735600
85964.912281,-65.688570
86215.538847,-65.665050
86466.165414,-65.618010
86716.791980,-65.565090
86967.418546,-65.565090
87218.045113,-65.659170
87468.671679,-65.723850
87719.298246,-65.612130
87969.924812,-65.465150
88220.551378,-65.435750
88471.177945,-65.423990
88721.804511,-65.553340
88972.431078,-65.806150
89223.057644,-65.994300
89473.684211,-66.111890
89724.310777,-66.176570
89974.937343,-66.011940
90225.563910,-65.670930
90476.190476,-65.341670
90726.817043,-65.194690
90977.443609,-65.177050
91228.070175,-65.165290
91478.696742,-65.077100
91729.323308,-65.106500
91979.949875,-65.400470
92230.576441,-65.723850
92481.203008,-65.941380
92731.829574,-66.164800
92982.456140,-66.447020
93233.082707,-66.646930
93483.709273,-66.664560
93734.335840,-66.417630
93984.962406,-66.170680
94235.588972,-65.906110
94486.215539,-65.635650
94736.842105,-65.659170
94987.468672,-65.759120
95238.095238,-65.788520
95488.721805,-65.788520
95739.348371,-65.576860
95989.974937,-65.418110
96240.601504,-65.459270
96491.228070,-65.712080
96741.854637,-65.947270
96992.481203,-66.241240
97243.107769,-66.588130
97493.734336,-66.782150
97744.360902,-66.835070
97994.987469,-66.776280
98245.614035,-66.840950
98496.240602,-66.929140
98746.867168,-66.805670
98997.493734,-66.511700
99248.120301,-66.147160
99498.746867,-65.870830
99749.373434,-65.788520
100000.000000,-65.823790
